g_right,x_right,g_left,x_left
1,0.00025,0.362311,0
0.898394,0.000250292,0.388144,9.03927e-06
0.798895,0.000251256,0.396492,1.74829e-05
0.701844,0.000253536,0.404956,2.53527e-05
0.615818,0.000257778,0.411286,3.26706e-05
0.605373,0.000264629,0.420251,3.94582e-05
0.538405,0.000274733,0.442376,4.57374e-05
0.466909,0.000288737,0.453114,5.153e-05
0.399265,0.000307285,0.466601,5.68578e-05
0.343378,0.000331023,0.485917,6.17427e-05
0.293583,0.000360598,0.50134,6.62064e-05
0.250676,0.000396654,0.517458,7.02707e-05
0.210904,0.000439837,0.548036,7.39575e-05
0.181256,0.000490794,0.566687,7.72886e-05
0.15088,0.000550168,0.587535,8.02857e-05
0.120993,0.000618607,0.599564,8.29707e-05
0.097026,0.000696755,0.624627,8.53654e-05
0.0762116,0.000785258,0.649746,8.74916e-05
0.0564893,0.000884762,0.681162,8.9371e-05
0.0428785,0.000995913,0.699383,9.10256e-05
0.0307938,0.00111935,0.699947,9.24771e-05
0.0213151,0.00125574,0.730809,9.37473e-05
0.013668,0.0014057,0.749913,9.48581e-05
0.00750092,0.00156989,0.785791,9.58311e-05
0.00343968,0.00174896,0.800181,9.66884e-05
0.00343613,0.00194354,0.849639,9.74516e-05
0.00172566,0.00215429,0.849639,9.81425e-05
0.000500332,0.00238186,0.871284,9.8783e-05
4.16068e-06,0.00262688,0.876347,9.93949e-05
0,0.00289,1,0.0001
