generation,energy
0,9.8002e-11
1,31.5
2,31.5
3,31.5
4,31.5
5,31.5
6,31.5
7,1.1148e-10
8,1.1148e-10
9,1.1148e-10
10,1.1148e-10
11,1.11468e-10
12,1.11092e-10
13,1.09917e-10
14,1.09171e-10
15,1.09171e-10
16,1.09127e-10
17,1.08823e-10
18,1.08787e-10
19,1.08568e-10
20,1.07935e-10
21,1.0692e-10
22,1.06851e-10
23,1.06742e-10
24,1.06692e-10
25,1.06377e-10
26,1.06312e-10
27,1.06312e-10
28,1.06288e-10
29,1.06246e-10
30,1.06166e-10
31,1.06166e-10
32,1.06144e-10
33,1.06119e-10
34,1.06115e-10
35,1.06075e-10
36,1.06013e-10
37,1.05965e-10
38,1.05752e-10
39,1.05752e-10
40,1.05699e-10
41,1.05482e-10
42,1.05435e-10
43,1.05369e-10
44,1.05295e-10
45,1.05224e-10
46,1.0518e-10
47,1.05151e-10
48,1.05129e-10
49,1.05104e-10
50,1.05088e-10
51,1.05037e-10
52,1.04998e-10
53,1.04992e-10
54,1.04916e-10
55,1.04892e-10
56,1.0489e-10
57,1.04814e-10
58,1.048e-10
59,1.04789e-10
60,1.04779e-10
61,1.04773e-10
62,1.04749e-10
63,1.04749e-10
64,1.04725e-10
65,1.04696e-10
66,1.04686e-10
67,1.04648e-10
68,1.04648e-10
69,1.04618e-10
70,1.04611e-10
71,1.04594e-10
72,1.04579e-10
73,1.04576e-10
74,1.04561e-10
75,1.04548e-10
76,1.04546e-10
77,1.04545e-10
78,1.04533e-10
79,1.04531e-10
80,1.04525e-10
81,1.04517e-10
82,1.04514e-10
83,1.04512e-10
84,1.04508e-10
85,1.04508e-10
86,1.04507e-10
87,1.04505e-10
88,1.04505e-10
89,1.04505e-10
90,1.04504e-10
91,1.04504e-10
92,1.04503e-10
93,1.04503e-10
94,1.04502e-10
95,1.04502e-10
96,1.04501e-10
97,1.045e-10
98,1.045e-10
99,1.04499e-10
100,1.04497e-10
101,1.04497e-10
102,1.04495e-10
103,1.04495e-10
104,1.04495e-10
105,1.04494e-10
106,1.04494e-10
107,1.04493e-10
108,1.04492e-10
109,1.04492e-10
110,1.04492e-10
111,1.04491e-10
112,1.0449e-10
113,1.04489e-10
114,1.04482e-10
115,1.04477e-10
116,1.04477e-10
117,1.04473e-10
118,1.04471e-10
119,1.04468e-10
120,1.04466e-10
121,1.04466e-10
122,1.04444e-10
123,1.04441e-10
124,1.04439e-10
125,1.04439e-10
126,1.04438e-10
127,1.04438e-10
128,1.04438e-10
129,1.04438e-10
130,1.04432e-10
131,1.04431e-10
132,1.04431e-10
133,1.04431e-10
134,1.04431e-10
135,1.04431e-10
136,1.04431e-10
137,1.0443e-10
138,1.0443e-10
139,1.0443e-10
140,1.0443e-10
