generation,energy
0,1.79596e-11
1,31.5
2,31.5
3,1.81509e-11
4,1.80814e-11
5,1.80374e-11
6,1.79895e-11
7,1.7947e-11
8,1.78783e-11
9,1.78504e-11
10,1.76703e-11
11,1.75373e-11
12,1.75049e-11
13,1.74702e-11
14,1.73969e-11
15,1.73801e-11
16,1.73447e-11
17,1.73014e-11
18,1.72856e-11
19,1.72666e-11
20,1.72615e-11
21,1.72247e-11
22,1.72226e-11
23,1.72123e-11
24,1.71949e-11
25,1.71786e-11
26,1.71629e-11
27,1.71616e-11
28,1.71517e-11
29,1.71332e-11
30,1.70919e-11
31,1.70919e-11
32,1.70919e-11
33,1.70861e-11
34,1.70798e-11
35,1.70738e-11
36,1.70712e-11
37,1.70664e-11
38,1.70629e-11
39,1.70629e-11
40,1.70629e-11
41,1.70608e-11
42,1.70608e-11
43,1.70605e-11
44,1.70604e-11
45,1.706e-11
46,1.70598e-11
47,1.70597e-11
48,1.70589e-11
49,1.70589e-11
50,1.70588e-11
51,1.70577e-11
52,1.70576e-11
53,1.70576e-11
54,1.70573e-11
55,1.70571e-11
56,1.70568e-11
57,1.70566e-11
58,1.70566e-11
59,1.70564e-11
60,1.70564e-11
61,1.70561e-11
62,1.70559e-11
63,1.70557e-11
64,1.70554e-11
65,1.70553e-11
66,1.70552e-11
67,1.70545e-11
68,1.70545e-11
69,1.70545e-11
70,1.70533e-11
71,1.70529e-11
72,1.70512e-11
73,1.70496e-11
74,1.70496e-11
75,1.70481e-11
76,1.70476e-11
77,1.70467e-11
78,1.70467e-11
79,1.70465e-11
80,1.7046e-11
81,1.70457e-11
82,1.70456e-11
83,1.70455e-11
84,1.70453e-11
85,1.70453e-11
86,1.7045e-11
87,1.70448e-11
88,1.70447e-11
89,1.70446e-11
90,1.70444e-11
91,1.70443e-11
92,1.7044e-11
93,1.70439e-11
94,1.70439e-11
95,1.70438e-11
96,1.70437e-11
97,1.70437e-11
98,1.70437e-11
99,1.70436e-11
100,1.70435e-11
