g_right,x_right,g_left,x_left
1,0.00025,0,0
0,0.000252755,0.811033,3.46445e-07
0,0.00025546,0.646119,6.90921e-07
0.422749,0.00025826,0.268645,1.03806e-06
0.790216,0.000261301,0.261112,1.3925e-06
0.508172,0.000264727,0.994872,1.75886e-06
0.420888,0.000268684,0.226686,2.14179e-06
0.801206,0.000273317,0.984774,2.5459e-06
0.651491,0.000278771,0.11574,2.97584e-06
1,0.00028519,0.237465,3.43624e-06
0.495061,0.000292721,1,3.93172e-06
0.0192854,0.000301509,0.803577,4.46692e-06
1,0.000311697,0.725464,5.04647e-06
0,0.000323432,0.0434748,5.67501e-06
0.323761,0.000336859,0.102879,6.35716e-06
0.0269748,0.000352122,0.197247,7.09756e-06
0.439233,0.000369367,0.256476,7.90083e-06
0.223517,0.000388739,0.6311,8.77162e-06
0.93578,0.000410383,0.697222,9.71455e-06
0.902382,0.000434444,1,1.07343e-05
0.0278135,0.000461068,0.0982646,1.18354e-05
0.0902988,0.000490399,0.248496,1.30225e-05
0,0.000522582,0,1.43003e-05
1,0.000557763,0.729449,1.56735e-05
0.522565,0.000596086,0.233307,1.71465e-05
0,0.000637698,0.259556,1.87241e-05
0.237333,0.000682742,0.886715,2.0411e-05
0.160825,0.000731364,0.395666,2.22116e-05
0.156391,0.00078371,0.526602,2.41307e-05
1,0.000839923,1,2.61729e-05
0.616111,0.000900151,0,2.83429e-05
0.543046,0.000964536,1,3.06452e-05
0.0580757,0.00103323,0.124787,3.30844e-05
0.299841,0.00110636,0.190912,3.56654e-05
0.0748188,0.0011841,0.881792,3.83925e-05
0.785911,0.00126657,0.881117,4.12706e-05
0.966406,0.00135392,0.0193943,4.43041e-05
0.879477,0.0014463,0.653029,4.74978e-05
0.0100213,0.00154386,0,5.08563e-05
0.592048,0.00164674,0.143457,5.43842e-05
0.736439,0.00175508,0.0141051,5.80862e-05
0.447092,0.00186903,1,6.19668e-05
0.802587,0.00198874,0.776282,6.60307e-05
0.591038,0.00211434,0.22291,7.02826e-05
0,0.00224599,0.0306917,7.4727e-05
0.466587,0.00238383,0.323879,7.93687e-05
0.30867,0.00252801,0.241346,8.42122e-05
0.747357,0.00267867,0.145569,8.92621e-05
0.93639,0.00283595,0.670225,9.45232e-05
0,0.003,1,0.0001
