x_left,g_left,x_right,g_right
0,0,0.00025,1
3.46445E-07,0.001244202,0.000252755,0.94496179
6.90921E-07,0.002693125,0.00025546,0.891979932
1.03806E-06,0.004384668,0.00025826,0.84101527
1.3925E-06,0.006356734,0.000261301,0.79202865
1.75886E-06,0.008647221,0.000264727,0.744980916
2.14179E-06,0.011294032,0.000268684,0.699832912
2.5459E-06,0.014335067,0.000273317,0.656545484
2.97584E-06,0.017808227,0.000278771,0.615079475
3.43624E-06,0.021751412,0.00028519,0.575395732
3.93172E-06,0.026202523,0.000292721,0.537455097
4.46692E-06,0.031199461,0.000301509,0.501218417
5.04647E-06,0.036780127,0.000311697,0.466646535
5.67501E-06,0.042982421,0.000323432,0.433700297
6.35716E-06,0.049844244,0.000336859,0.402340547
7.09756E-06,0.057403496,0.000352122,0.37252813
7.90083E-06,0.065698079,0.000369367,0.34422389
8.77162E-06,0.074765894,0.000388739,0.317388673
9.71455E-06,0.08464484,0.000410383,0.291983322
1.07343E-05,0.095372819,0.000434444,0.267968683
1.18354E-05,0.106987732,0.000461068,0.2453056
1.30225E-05,0.119527478,0.000490399,0.223954917
1.43003E-05,0.13302996,0.000522582,0.203877481
1.56735E-05,0.147533077,0.000557763,0.185034135
1.71465E-05,0.16307473,0.000596086,0.167385723
1.87241E-05,0.17969282,0.000637698,0.150893091
2.0411E-05,0.197425249,0.000682742,0.135517084
2.22116E-05,0.216309915,0.000731364,0.121218546
2.41307E-05,0.236384721,0.00078371,0.107958321
2.61729E-05,0.257687567,0.000839923,0.095697255
2.83429E-05,0.280256354,0.000900151,0.084396191
3.06452E-05,0.304128982,0.000964536,0.074015976
3.30844E-05,0.329343352,0.001033225,0.064517453
3.56654E-05,0.355937365,0.001106363,0.055861467
3.83925E-05,0.383948922,0.001184095,0.048008862
4.12706E-05,0.413415923,0.001266565,0.040920485
4.43041E-05,0.444376269,0.00135392,0.034557178
4.74978E-05,0.476867861,0.001446303,0.028879787
5.08563E-05,0.510928599,0.001543861,0.023849157
5.43842E-05,0.546596385,0.001646738,0.019426132
5.80862E-05,0.583909118,0.00175508,0.015571557
6.19668E-05,0.622904701,0.001869031,0.012246277
6.60307E-05,0.663621032,0.001988737,0.009411135
7.02826E-05,0.706096014,0.002114343,0.007026978
7.4727E-05,0.750367547,0.002245994,0.005054649
7.93687E-05,0.796473531,0.002383835,0.003454994
8.42122E-05,0.844451868,0.00252801,0.002188857
8.92621E-05,0.894340458,0.002678667,0.001217082
9.45232E-05,0.946177202,0.002835948,0.000500515
0.0001,1,0.003,0
