g_right,x_right,g_left,x_left
1,0.00025,0,0
0.897844,0.000250757,0.000696254,6.68549e-07
0.805541,0.000251871,0.00245836,1.37531e-06
0.74006,0.000253777,0.00507934,2.13809e-06
0.665963,0.000256905,0.00845503,2.97471e-06
0.655487,0.00026169,0.0152553,3.90298e-06
0.586558,0.000268565,0.0212833,4.94073e-06
0.523692,0.000277962,0.0297422,6.10576e-06
0.455459,0.000290313,0.040824,7.4159e-06
0.400521,0.000306053,0.0410474,8.88896e-06
0.349863,0.000325614,0.0410474,1.05428e-05
0.2886,0.000349429,0.049915,1.23951e-05
0.247874,0.00037793,0.0499157,1.44638e-05
0.180317,0.000411551,0.0729119,1.67667e-05
0.148307,0.000450725,0.0987076,1.93216e-05
0.127184,0.000495883,0.112393,2.21463e-05
0.102171,0.000547461,0.145562,2.52587e-05
0.0787251,0.000605889,0.18179,2.86765e-05
0.0639289,0.000671602,0.18179,3.24175e-05
0.0461578,0.000745031,0.187222,3.64997e-05
0.028803,0.000826611,0.236189,4.09407e-05
0.0287986,0.000916773,0.23632,4.57584e-05
0.0201077,0.00101595,0.282772,5.09707e-05
0.0201044,0.00112458,0.344733,5.65953e-05
0.0128991,0.00124309,0.41028,6.26501e-05
0.00767417,0.00137191,0.41125,6.91529e-05
0.00346332,0.00151148,0.490411,7.61214e-05
0.000457285,0.00166223,0.58874,8.35736e-05
4.88279e-06,0.00182459,0.66415,9.15272e-05
0,0.001999,1,0.0001
