generation,energy
0,5.88907e-11
1,6.04142e-11
2,6.01125e-11
3,6.02542e-11
4,6.01962e-11
5,6.02555e-11
6,6.02311e-11
7,6.03012e-11
8,6.00396e-11
9,6.038e-11
10,6.00813e-11
11,6.03508e-11
12,6.03436e-11
13,6.02693e-11
14,6.02811e-11
15,6.07214e-11
16,6.01655e-11
17,6.07711e-11
18,6.09631e-11
19,6.08108e-11
20,6.09055e-11
21,6.12767e-11
22,6.11729e-11
23,6.12132e-11
24,6.21739e-11
25,6.12676e-11
26,6.1205e-11
27,6.18504e-11
28,6.1636e-11
29,6.2419e-11
30,6.28475e-11
31,6.29028e-11
32,6.31409e-11
33,6.34907e-11
34,6.36251e-11
35,6.35237e-11
36,6.25337e-11
37,6.32978e-11
38,6.27731e-11
39,6.34005e-11
40,6.29056e-11
41,6.43998e-11
42,6.45117e-11
43,6.3774e-11
44,6.51296e-11
45,6.50831e-11
46,6.38735e-11
47,6.7409e-11
48,6.67392e-11
49,6.754e-11
50,6.65991e-11
51,6.56464e-11
52,6.84029e-11
53,6.77677e-11
54,6.86641e-11
55,7.30649e-11
56,7.27023e-11
57,7.02856e-11
58,7.2555e-11
59,7.33324e-11
60,7.49401e-11
61,7.60071e-11
62,7.86809e-11
63,7.59603e-11
64,7.68797e-11
65,7.54442e-11
66,7.75531e-11
67,7.80955e-11
68,7.75999e-11
69,8.0404e-11
70,7.62253e-11
71,7.68273e-11
72,7.4849e-11
73,7.65868e-11
74,7.82684e-11
75,7.45696e-11
76,8.03942e-11
77,7.87792e-11
78,7.7031e-11
79,7.38877e-11
80,7.56086e-11
81,7.81631e-11
82,7.68217e-11
83,7.67562e-11
84,7.67542e-11
85,7.36274e-11
86,7.34462e-11
87,7.25848e-11
88,7.13615e-11
89,7.25559e-11
90,7.0976e-11
91,7.09343e-11
92,7.13898e-11
93,7.15828e-11
94,7.37165e-11
95,7.15687e-11
96,7.14217e-11
97,7.04546e-11
98,6.98271e-11
99,7.20267e-11
100,7.22503e-11
101,7.01308e-11
102,6.98316e-11
103,7.14431e-11
104,7.15869e-11
105,7.23162e-11
106,7.23811e-11
107,7.07012e-11
108,7.33093e-11
109,7.14374e-11
110,7.31633e-11
111,7.278e-11
112,7.33839e-11
113,7.4003e-11
114,7.32504e-11
115,7.41104e-11
116,6.98562e-11
117,7.11774e-11
118,7.03336e-11
119,7.07959e-11
120,7.2743e-11
121,7.32105e-11
122,7.28842e-11
123,7.35148e-11
124,7.17391e-11
125,7.15945e-11
126,6.97074e-11
127,7.07914e-11
128,7.3026e-11
129,7.09307e-11
130,7.04656e-11
131,7.27337e-11
132,7.10397e-11
133,7.23958e-11
134,7.13714e-11
135,7.23522e-11
136,7.25385e-11
137,7.41585e-11
138,7.14454e-11
139,7.27094e-11
140,7.17857e-11
141,7.07249e-11
142,7.05635e-11
143,7.06177e-11
144,6.98896e-11
145,7.03212e-11
146,6.96705e-11
147,7.00521e-11
148,6.94054e-11
149,6.91082e-11
150,7.17606e-11
151,7.01795e-11
152,6.95153e-11
153,7.05261e-11
154,7.02358e-11
155,7.05388e-11
156,7.0251e-11
157,6.95263e-11
158,6.94837e-11
159,6.88045e-11
160,7.01933e-11
161,6.67702e-11
162,6.87655e-11
163,6.90636e-11
164,6.75655e-11
165,6.79803e-11
166,6.69212e-11
167,6.70231e-11
168,6.67964e-11
169,6.59131e-11
170,6.84493e-11
171,6.81467e-11
172,6.59534e-11
173,6.60182e-11
174,6.53107e-11
175,6.62652e-11
176,6.53257e-11
177,6.53087e-11
178,6.47703e-11
179,6.44893e-11
180,6.48606e-11
181,6.47349e-11
182,6.39681e-11
183,6.43208e-11
184,6.53641e-11
185,6.42662e-11
186,6.47033e-11
187,6.41306e-11
188,6.39824e-11
189,6.41365e-11
190,6.39081e-11
191,6.34277e-11
192,6.3563e-11
193,6.38567e-11
194,6.22287e-11
195,6.30829e-11
196,6.25047e-11
197,6.25676e-11
198,6.26881e-11
199,6.23215e-11
200,6.19123e-11
201,6.24424e-11
202,6.24337e-11
203,6.1915e-11
204,6.22528e-11
205,6.25108e-11
