generation,energy
0,5.55949e-11
1,31.5
2,31.5
3,31.5
4,31.5
5,31.5
6,5.63261e-11
7,5.63261e-11
8,5.58757e-11
9,5.56915e-11
10,5.56124e-11
11,5.53323e-11
12,5.51801e-11
13,5.49708e-11
14,5.45447e-11
15,5.44198e-11
16,5.4296e-11
17,5.40185e-11
18,5.40185e-11
19,5.39727e-11
20,5.38726e-11
21,5.37791e-11
22,5.37216e-11
23,5.36174e-11
24,5.34738e-11
25,5.34738e-11
26,5.33998e-11
27,5.33918e-11
28,5.33727e-11
29,5.33438e-11
30,5.33053e-11
31,5.33053e-11
32,5.32717e-11
33,5.32043e-11
34,5.31694e-11
35,5.31659e-11
36,5.31196e-11
37,5.31196e-11
38,5.3097e-11
39,5.3097e-11
40,5.30774e-11
41,5.30604e-11
42,5.30524e-11
43,5.30199e-11
44,5.30199e-11
45,5.30143e-11
46,5.30071e-11
47,5.30047e-11
48,5.29939e-11
49,5.29876e-11
50,5.29852e-11
51,5.2974e-11
52,5.29642e-11
53,5.2956e-11
54,5.29436e-11
55,5.29371e-11
56,5.29203e-11
57,5.29154e-11
58,5.29139e-11
59,5.29067e-11
60,5.29061e-11
61,5.2904e-11
62,5.29019e-11
63,5.28994e-11
64,5.28966e-11
65,5.28954e-11
66,5.28943e-11
67,5.28938e-11
68,5.2892e-11
69,5.28864e-11
70,5.288e-11
71,5.288e-11
72,5.28795e-11
73,5.28779e-11
74,5.28765e-11
75,5.28765e-11
76,5.28753e-11
77,5.28753e-11
78,5.28751e-11
79,5.28741e-11
80,5.28727e-11
81,5.28727e-11
82,5.28725e-11
83,5.2872e-11
84,5.28715e-11
85,5.28701e-11
86,5.28699e-11
87,5.28682e-11
88,5.28649e-11
89,5.28642e-11
90,5.28639e-11
91,5.28608e-11
92,5.28592e-11
93,5.28591e-11
94,5.28579e-11
95,5.28563e-11
96,5.28545e-11
97,5.28543e-11
98,5.2852e-11
99,5.28518e-11
100,5.28516e-11
