generation,energy
0,1.79596e-11
1,31.5
2,31.5
3,1.81418e-11
4,1.80852e-11
5,1.80852e-11
6,1.80048e-11
7,1.79415e-11
8,1.78694e-11
9,1.77453e-11
10,1.76964e-11
11,1.76297e-11
12,1.75633e-11
13,1.75568e-11
14,1.75102e-11
15,1.7489e-11
16,1.74356e-11
17,1.74129e-11
18,1.73726e-11
19,1.73517e-11
20,1.72871e-11
21,1.72695e-11
22,1.72417e-11
23,1.71901e-11
24,1.71893e-11
25,1.71849e-11
26,1.71771e-11
27,1.71718e-11
28,1.71718e-11
29,1.71663e-11
30,1.7163e-11
31,1.71611e-11
32,1.71595e-11
33,1.7155e-11
34,1.71542e-11
35,1.71514e-11
36,1.71499e-11
37,1.71489e-11
38,1.71451e-11
39,1.7145e-11
40,1.71424e-11
41,1.71386e-11
42,1.71356e-11
43,1.71315e-11
44,1.71264e-11
45,1.71262e-11
46,1.71243e-11
47,1.71234e-11
48,1.71227e-11
49,1.71204e-11
50,1.71204e-11
51,1.71181e-11
52,1.71171e-11
53,1.71148e-11
54,1.71147e-11
55,1.71133e-11
56,1.71131e-11
57,1.71118e-11
58,1.71111e-11
59,1.71083e-11
60,1.71083e-11
61,1.7108e-11
62,1.71067e-11
63,1.7105e-11
64,1.71038e-11
65,1.71032e-11
66,1.71014e-11
67,1.71014e-11
68,1.71012e-11
69,1.7101e-11
70,1.71008e-11
71,1.71007e-11
72,1.71003e-11
73,1.71e-11
74,1.70992e-11
75,1.70988e-11
76,1.70986e-11
77,1.70985e-11
78,1.70984e-11
79,1.70981e-11
80,1.70976e-11
81,1.70975e-11
82,1.70975e-11
83,1.70974e-11
84,1.70971e-11
85,1.70968e-11
86,1.70968e-11
87,1.70968e-11
88,1.70967e-11
89,1.70965e-11
90,1.70965e-11
91,1.70963e-11
92,1.70963e-11
93,1.70961e-11
94,1.7096e-11
95,1.7096e-11
96,1.70958e-11
97,1.70955e-11
98,1.70955e-11
99,1.70954e-11
100,1.70954e-11
